41 18442 20660 14128
 32209 16573 27755 7877 30615
 10247 15950 21439 2382 18677
 28188 28663 25668 19170 22585
 19717 13186 2702 1456 1321
 1037 13395 28766 14658 29764
 14835 11444 30826 16880 9409
 15154 4478 16348 25611 2646
 24158 18195 17792 10643 12831
 11751 32356 25512 31836 6578
 11712 23760 8720 8961 26104
 9347 5665 13590 9029 3265
 18135 15309 32161 15944 28068
 21790 17845 30998 29108 5206
 6137 4754 6759 15672 9698
 5827 14009 5087 14625 31652
 27020 16591 17906 27382 22980
 4497 31016 11061 1351 4123
 24716 3384 14745 9393 20198
 6318 8032 6444 421 25751
 11432
