41 18442 20660 14128
 32248 2231 15583 10741 2671
 8368 657 31306 801 26693
 27789 5565 26469 8871 13492
 22712 21735 10281 12548 23953
 20714 7290 16730 25811 9390
 9609 28142 7353 25975 18754
 1640 15095 10106 28148 24661
 31340 6142 115 30600 7116
 13143 14050 31292 2151 20129
 20928 32469 26482 24098 16054
 24550 29818 28473 10656 9081
 3055 8368 28146 12677 7713
 13406 3206 29601 32491 8148
 32628 27493 15058 26111 7958
 21557 15988 23495 22611 19513
 11172 698 12385 31263 20592
 12330 11441 30121 17174 5415
 28536 29776 15448 2651 23615
 21174 20124 18025 6191 20279
 4992
