41 18442 20660 14128
 32209 16573 27755 7877 26962
 14018 8331 19834 6027 22064
 28889 28978 2995 9493 14286
 8946 23669 25977 27207 7148
 31653 19451 4086 18154 3052
 18011 21276 1986 14771 5281
 5100 24100 14951 23772 7767
 14577 18670 23811 31322 30333
 17673 4664 15141 7711 28253
 6868 25547 27644 32662 32757
 20037 12859 8723 9741 27529
 778 12316 3035 22190 1842
 288 30106 9040 8942 19264
 22648 27446 23805 15890 6729
 24370 15350 15006 31101 24393
 3548 19629 12623 24084 19954
 18756 11840 4966 7376 13931
 26308 16944 32439 24626 11323
 5537 21538 16118 2082 22929
 16541
